MAL_ID|Name|Score|Genres|Type|Episodes|Aired|End|Producers|Licensors|Studios|Source|Duration|Rating|Ranked|Popularity|Members|Favorites|Watching|Completed|On-Hold|Dropped|Plan to Watch|Score-10|Score-9|Score-8|Score-7|Score-6|Score-5|Score-4|Score-3|Score-2|Score-1
24|School Rumble|7.94|Comedy, Romance, School, Shounen|TV|26|10/5/2004|3/29/2005|TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack|Funimation|Studio Comet|Manga|23 min. per ep.|PG-13 - Teens 13 or older|625|514|275464|5137|12277|157789|12856|13491|79051|17907|27623|38112|27327|11034|5396|1897|780|441|405
25|Sunabouzu|7.42|Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen|TV|24|10/6/2004|3/30/2005|GDH, Pony Canyon, CBC|Funimation|Gonzo|Manga|24 min. per ep.|R - 17+ (violence & profanity)|1844|1284|111734|790|6273|53819|6255|7951|37436|3589|6664|12349|12702|6033|3079|1521|643|350|297
26|Texhnolyze|7.76|Action, Sci-Fi, Psychological, Drama|TV|22|4/17/2003|9/25/2003|Group TAC, Rondo Robe, Fuji TV, Pioneer LDC|Funimation, Geneon Entertainment USA|Madhouse|Original|23 min. per ep.|R+ - Mild Nudity|896|823|182599|3671|11335|47532|9815|8112|105805|6856|8309|10851|8636|4429|2462|1456|684|411|664
27|Trinity Blood|7.32|Action, Supernatural, Vampire|TV|24|4/29/2005|10/28/2005||Funimation|Gonzo|Light novel|24 min. per ep.|R - 17+ (violence & profanity)|2240|936|158343|1479|7794|87958|8940|9349|44302|6091|9759|17761|20152|10273|5392|2250|873|456|298
28|Yakitate!! Japan|7.95|Comedy, Shounen|TV|69|10/12/2004|3/14/2006|TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa|Nozomi Entertainment|Sunrise|Manga|24 min. per ep.|PG-13 - Teens 13 or older|609|1666|80183|887|5007|39992|5764|4633|24787|4347|7425|11074|7965|3038|1248|345|118|56|58
29|Zipang|7.51|Action, Military, Sci-Fi, Historical, Drama, Seinen|TV|26|10/8/2004|4/1/2005|Marvelous, TBS|Geneon Entertainment USA|Studio Deen|Manga|24 min. per ep.|PG-13 - Teens 13 or older|1565|3985|16652|152|857|6807|721|599|7668|430|874|1801|1696|662|279|114|38|13|28
30|Neon Genesis Evangelion|8.32|Action, Sci-Fi, Dementia, Psychological, Drama, Mecha|TV|26|10/4/1995|3/27/1996|TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka|ADV Films, Netflix|Gainax, Tatsunoko Production|Original|24 min. per ep.|PG-13 - Teens 13 or older|208|54|1160651|71308|66549|815938|35566|20358|222240|186797|168056|157596|93532|38385|17571|9686|4408|3263|3714
31|Neon Genesis Evangelion: Death & Rebirth|7.45|Drama, Mecha, Psychological, Sci-Fi|Movie|1|3/15/1997||Movic, Sega, TV Tokyo Music, Audio Tanaka|Manga Entertainment|Gainax, Production I.G|Original|1 hr. 44 min.|R - 17+ (violence & profanity)|1742|833|180681|588|1941|146202|1069|961|30508|13516|15245|23683|25396|12694|6313|2636|1042|654|737
32|Neon Genesis Evangelion: The End of Evangelion|8.51|Sci-Fi, Dementia, Psychological, Drama, Mecha|Movie|1|7/19/1997||TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka|Manga Entertainment|Gainax, Production I.G|Original|1 hr. 27 min.|R+ - Mild Nudity|102|195|572080|17811|8055|482918|2462|1499|77146|127081|95821|77593|41261|16444|7057|4493|2279|1941|2264
33|Kenpuu Denki Berserk|8.49|Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural|TV|25|10/8/1997|4/1/1998|VAP, Hakusensha, Nippon Television Network|Media Blasters, NYAV Post|OLM|Manga|25 min. per ep.|R+ - Mild Nudity|108|301|432190|18567|19540|276588|12737|9406|113919|58627|65906|60815|29055|9477|3899|1748|671|456|842
43|Koukaku Kidoutai|8.29|Action, Mecha, Police, Psychological, Sci-Fi, Seinen|Movie|1|11/18/1995||Bandai Visual, Kodansha|Manga Entertainment|Production I.G|Manga|1 hr. 22 min.|R+ - Mild Nudity|236|265|468279|10362|8152|325682|3404|1927|129114|56237|65298|70881|39446|13704|5107|1842|675|292|486
44|Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen|8.73|Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen|OVA|4|2/20/1999|9/22/1999|Aniplex|ADV Films, Aniplex of America|Studio Deen|Manga|30 min. per ep.|R - 17+ (violence & profanity)|37|637|228484|6111|6359|150183|3124|1836|66982|39845|33317|25800|11782|3575|1393|448|163|106|490
45|Rurouni Kenshin: Meiji Kenkaku Romantan|8.31|Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen|TV|94|1/10/1996|9/8/1998|Aniplex, SME Visual Works, Fuji TV|Media Blasters|Gallop, Studio Deen|Manga|25 min. per ep.|PG-13 - Teens 13 or older|220|345|386195|11236|29540|216154|30655|18588|91258|38050|50380|57604|33295|10220|3867|1167|372|176|314
46|Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka|7.56|Samurai, Historical, Drama, Shounen|Movie|1|12/20/1997||Fuji TV, Sony Music Entertainment|ADV Films, Aniplex of America|Gallop|Manga|1 hr. 31 min.|R - 17+ (violence & profanity)|1397|2411|44334|107|547|34481|438|228|8640|2958|3683|6232|6557|2832|1310|426|129|71|59
47|Akira|8.17|Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen|Movie|1|7/16/1988||Mainichi Broadcasting System, Kodansha, Toho|Funimation, Bandai Entertainment, Geneon Entertainment USA|Tokyo Movie Shinsha|Manga|2 hr. 4 min.|R+ - Mild Nudity|333|197|566538|9555|8258|434086|3491|2174|118529|77192|82148|91288|54906|22369|9462|4322|1737|992|1067
48|.hack//Sign|6.98|Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy|TV|26|4/4/2002|9/26/2002|Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2|Funimation, Bandai Entertainment|Bee Train|Original|24 min. per ep.|PG-13 - Teens 13 or older|3687|940|158227|1359|6733|91528|8315|11881|39770|5266|8051|15537|20391|12617|7610|3688|1502|825|619
49|Aa! Megami-sama!|7.32|Comedy, Magic, Romance, Seinen, Supernatural|OVA|5|2/21/1993|5/17/1994|Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion|AnimEigo|AIC|Manga|30 min. per ep.|PG-13 - Teens 13 or older|2226|2360|46428|267|993|34581|860|894|9100|2021|3077|5826|7079|3737|1795|433|172|59|46
50|Aa! Megami-sama! (TV)|7.35|Comedy, Supernatural, Magic, Romance, Seinen|TV|24|1/7/2005|7/8/2005|Bandai Visual, TBS, Imagine|Media Blasters, NYAV Post|AIC|Manga|24 min. per ep.|PG-13 - Teens 13 or older|2116|1083|135747|1124|5841|85884|6517|7971|29534|5425|9097|17037|20033|10160|5221|1678|591|291|214
51|Tenshi Kinryouku|6.31|Action, Drama, Romance, Shoujo, Supernatural|OVA|3|5/25/2000|8/25/2000|Bandai Visual, AIC, Lantis, Audio Tanaka|Media Blasters|Hal Film Maker|Manga|30 min. per ep.|R+ - Mild Nudity|6823|2419|43960|215|812|32981|749|1311|8107|1464|2043|3490|5450|5008|3621|2115|992|689|415
52|Kidou Tenshi Angelic Layer|7.26|Sci-Fi, Comedy, Sports, Drama, Shounen|TV|26|4/1/2001|9/23/2001|TV Tokyo Music|ADV Films, Sentai Filmworks|Bones|Manga|24 min. per ep.|PG-13 - Teens 13 or older|2529|2232|51022|290|1653|32978|2615|2852|10924|1644|3245|6253|7975|4261|2092|579|211|89|87
53|Ai Yori Aoshi|7.14|Harem, Slice of Life, Comedy, Drama, Romance|TV|24|4/11/2002|9/26/2002|Movic, Fuji TV, Pioneer LDC, Cosmic Ray|Funimation, Geneon Entertainment USA|J.C.Staff|Manga|23 min. per ep.|PG-13 - Teens 13 or older|3012|1465|94793|458|4111|60075|4160|5814|20633|3124|5402|10587|13835|8066|4414|1627|609|287|206
54|Appleseed (Movie)|7.1|Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen|Movie|1|4/17/2004||Mainichi Broadcasting System, Toho, TYO Animations, TYO|Sentai Filmworks, Geneon Entertainment USA|Digital Frontier|Manga|1 hr. 45 min.|R - 17+ (violence & profanity)|3206|1901|65139|173|787|52100|403|489|11360|2107|4369|8991|11644|6182|3050|1249|451|213|113
55|Arc the Lad|6.53|Action, Adventure, Fantasy, Horror, Sci-Fi|TV|26|4/5/1999|9/11/1999|Sony Pictures Entertainment, Aniplex|ADV Films|Bee Train|Game|22 min. per ep.|R - 17+ (violence & profanity)|5738|4259|14187|17|581|7032|718|910|4946|174|271|762|1605|1252|814|297|108|50|37
56|Avenger|5.91|Adventure, Fantasy, Sci-Fi, Shounen|TV|13|10/2/2003|12/25/2003|Production I.G|Bandai Entertainment|Bee Train, Xebec|Original|24 min. per ep.|R - 17+ (violence & profanity)|8501|4073|15779|21|617|7906|712|1255|5289|166|259|699|1335|1371|1135|698|343|222|133
57|Beck|8.31|Comedy, Drama, Music, Shounen, Slice of Life|TV|26|10/7/2004|3/31/2005|Marvelous, Starchild Records, Asatsu DK, Kodansha|Funimation|Madhouse|Manga|25 min. per ep.|R - 17+ (violence & profanity)|221|570|255668|7038|10580|133432|10190|8488|92978|23840|31103|30926|17566|6598|3000|1173|446|225|235
58|Blue Gender|7.05|Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama|TV|26|10/8/1999|3/31/2000|Youmex, Toshiba EMI|Funimation|AIC|Original|23 min. per ep.|R+ - Mild Nudity|3455|1886|65360|389|2738|31583|2534|3195|25310|1451|2733|5800|7810|4354|2327|1012|381|229|168
59|Chobits|7.43|Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen|TV|26|4/3/2002|9/25/2002|TBS, Pioneer LDC|Funimation, Geneon Entertainment USA|Madhouse|Manga|24 min. per ep.|PG-13 - Teens 13 or older|1804|332|402646|3859|15294|272425|18082|22409|74436|20499|32733|55560|58689|29800|14855|5772|2124|1159|816
60|Chrno Crusade|7.66|Action, Demons, Historical, Romance, Shounen, Supernatural|TV|24|11/25/2003|6/10/2004|Lantis, Kadokawa Shoten, Fuji TV|ADV Films, Funimation|Gonzo|Manga|23 min. per ep.|R - 17+ (violence & profanity)|1120|742|198007|2064|8228|117484|9881|9842|52572|11469|16051|25109|23075|11012|5331|1919|652|280|256
61|D.N.Angel|7.2|Action, Comedy, Magic, Romance, Fantasy, School, Shoujo|TV|26|4/3/2003|9/25/2003|Kadokawa Shoten|ADV Films, Discotek Media|Xebec|Manga|23 min. per ep.|PG-13 - Teens 13 or older|2761|891|167615|1523|5183|117045|7599|11057|26731|7515|11105|19858|25101|15032|8167|3203|1092|595|378
62|D.C.: Da Capo|6.77|Harem, Drama, Magic, Romance|TV|26|7/5/2003|12/27/2003|Lantis, King Records||feel., Zexcs|Visual novel|24 min. per ep.|PG-13 - Teens 13 or older|4589|1852|67491|189|3024|36037|2840|3852|21738|1542|2446|5172|7807|5472|3340|1493|645|376|242
63|DearS|6.62|Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen|TV|12|7/11/2004|9/26/2004|Bandai Visual, Hal Film Maker, Genco, Lantis|Discotek Media, Geneon Entertainment USA|Daume|Manga|23 min. per ep.|R+ - Mild Nudity|5274|1146|128788|391|3766|95113|3066|5507|21336|3464|5632|11499|19352|14791|8839|4070|1863|1029|730
64|Rozen Maiden|7.44|Action, Comedy, Drama, Magic, Seinen|TV|12|10/8/2004|12/24/2004|Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack|Sentai Filmworks, Geneon Entertainment USA|Nomad|Manga|24 min. per ep.|PG-13 - Teens 13 or older|1782|846|176775|2074|5599|113914|6040|7852|43370|7868|12729|23021|23961|11535|5531|2028|737|387|292
65|Rozen Maiden: Träumend|7.65|Action, Comedy, Drama, Magic, Seinen|TV|12|10/21/2005|1/27/2006|Mellow Head, TBS|Sentai Filmworks, Geneon Entertainment USA|Nomad|Manga|24 min. per ep.|PG-13 - Teens 13 or older|1146|1479|93768|516|2006|73523|2114|1647|14478|5500|9205|15835|14172|5733|2345|760|255|95|97
66|Azumanga Daioh|7.98|Slice of Life, Comedy, School|TV|26|4/9/2002|10/1/2002|Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records|ADV Films, Sentai Filmworks|J.C.Staff|4-koma manga|24 min. per ep.|PG-13 - Teens 13 or older|555|554|262980|5181|13747|143431|16133|13115|76554|18422|27283|35693|25478|10326|5162|1797|707|406|412
67|Basilisk: Kouga Ninpou Chou|7.58|Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy|TV|24|4/13/2005|9/21/2005|GDH, Kodansha, Sotsu Music Publishing|Funimation|Gonzo|Manga|24 min. per ep.|R - 17+ (violence & profanity)|1325|940|156661|1467|6964|82153|6380|6957|54207|6677|11140|19570|17421|7816|3800|1554|643|316|244
68|Black Cat (TV)|7.38|Sci-Fi, Adventure, Comedy, Super Power, Shounen|TV|23|10/7/2005|3/31/2006|GDH, Dentsu, TBS, Sotsu Music Publishing|Funimation|Gonzo|Manga|24 min. per ep.|PG-13 - Teens 13 or older|1965|622|231668|1955|10510|142921|11736|11003|55498|8654|15253|29392|34019|16081|7534|2521|863|395|234
69|Cluster Edge|6.35|Action, Fantasy, Military, Sci-Fi|TV|25|10/5/2005|3/29/2006|Bandai Visual, Imagine|Sentai Filmworks|Sunrise|Original|24 min. per ep.|PG-13 - Teens 13 or older|6646|5061|9299|13|500|3068|629|942|4160|113|162|372|652|627|412|261|108|62|31
71|Full Metal Panic!|7.65|Action, Military, Sci-Fi, Comedy, Mecha|TV|24|1/8/2002|6/18/2002|Kadokawa Shoten|ADV Films, Funimation|Gonzo|Light novel|24 min. per ep.|R - 17+ (violence & profanity)|1146|322|411230|4417|17458|264665|16076|13806|99225|17675|36500|64969|56993|21492|9171|3035|991|448|329
72|Full Metal Panic? Fumoffu|8.07|Action, Comedy, School|TV|12|8/26/2003|10/18/2003|Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do|ADV Films, Funimation|Kyoto Animation|Light novel|24 min. per ep.|PG-13 - Teens 13 or older|452|571|254465|2988|5383|204041|4435|3533|37073|24023|37507|45884|30305|11085|4417|1332|442|194|164
73|Full Metal Panic! The Second Raid|7.96|Action, Military, Mecha|TV|13|7/14/2005|10/20/2005|Kadokawa Shoten, Happinet Pictures|ADV Films, Funimation, Kadokawa Pictures USA|Kyoto Animation|Light novel|24 min. per ep.|R - 17+ (violence & profanity)|579|639|227927|1358|4667|177524|3840|2271|39625|14139|30146|45246|29917|9377|3127|816|235|115|129
74|Gakuen Alice|7.65|Comedy, School, Shoujo, Super Power|TV|26|10/30/2004|5/14/2005|Aniplex, Sogo Vision|Nozomi Entertainment|Group TAC|Manga|25 min. per ep.|G - All Ages|1158|1640|81446|1613|2495|57369|2843|2916|15823|5560|7151|11074|11158|5331|2357|618|214|115|104
75|Soukyuu no Fafner: Dead Aggressor|7.3|Action, Drama, Mecha, Military, Sci-Fi|TV|25|7/5/2004|12/27/2004|TV Tokyo Music, King Records|Funimation, Geneon Entertainment USA|Xebec|Original|24 min. per ep.|PG-13 - Teens 13 or older|2348|2523|40602|255|2179|16417|1849|1987|18170|926|1667|3344|3838|1827|955|424|184|94|71
76|Mahou Shoujo Lyrical Nanoha|7.42|Action, Comedy, Drama, Magic, Super Power|TV|13|10/3/2004|12/26/2004|Starchild Records, Omnibus Japan|Geneon Entertainment USA|Seven Arcs|Original|25 min. per ep.|PG-13 - Teens 13 or older|1828|1550|88890|1036|3287|47731|2865|2625|32382|3193|5032|9945|10737|4999|2363|736|276|140|112
77|Mahou Shoujo Lyrical Nanoha A's|7.99|Action, Comedy, Drama, Magic, Super Power|TV|13|10/2/2005|12/25/2005|Starchild Records, Omnibus Japan|Geneon Entertainment USA|Seven Arcs|Original|25 min. per ep.|PG-13 - Teens 13 or older|551|2075|56981|1014|1367|40165|1088|828|13533|4189|6809|9368|6267|2220|864|250|83|53|71
79|Shuffle!|7.09|Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen|TV|24|7/8/2005|1/6/2006|Xebec, Lantis, Memory-Tech|Funimation|Asread|Visual novel|23 min. per ep.|R+ - Mild Nudity|3231|600|240751|1572|10943|151944|9558|13227|55079|8852|14660|26443|32343|18951|10530|5019|2184|1323|1088
80|Mobile Suit Gundam|7.78|Action, Military, Sci-Fi, Space, Mecha|TV|43|4/7/1979|1/26/1980|Sotsu, Nagoya Broadcasting Network|Nozomi Entertainment, Bandai Entertainment|Sunrise|Original|25 min. per ep.|PG-13 - Teens 13 or older|867|1427|97216|1787|7737|52669|5473|3100|28237|5395|7488|12922|11417|4169|1598|505|179|59|104
81|Mobile Suit Gundam: The 08th MS Team|8.03|Adventure, Drama, Mecha, Military, Romance, Sci-Fi|OVA|12|1/25/1996|7/25/1999|Atelier Musa|Bandai Entertainment|Sunrise|Original|25 min. per ep.|PG-13 - Teens 13 or older|511|1948|62655|911|2405|43537|1437|794|14482|4241|8768|11589|6745|2121|819|262|87|38|50
82|Mobile Suit Gundam 0080: War in the Pocket|7.9|Military, Sci-Fi, Space, Drama, Mecha|OVA|6|3/25/1989|8/25/1989|Bandai Visual|Nozomi Entertainment, Bandai Entertainment|Sunrise|Original|27 min. per ep.|PG-13 - Teens 13 or older|677|2444|43308|717|978|30112|595|392|11231|2957|5210|7398|5147|1817|748|236|82|36|47
83|Mobile Suit Gundam: The 08th MS Team - Miller's Report|6.79|Military, Sci-Fi, Drama, Romance, Mecha|Movie|1|8/1/1998||Sotsu, Atelier Musa|Bandai Entertainment|Sunrise|Original|52 min.|PG-13 - Teens 13 or older|4498|4660|11460|3|149|8314|130|136|2731|275|461|1054|1788|1273|630|193|73|30|22
84|Mobile Suit Gundam 0083: Stardust Memory|7.3|Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha|OVA|13|5/23/1991|9/24/1992|Bandai Visual|Nozomi Entertainment, Bandai Entertainment|Sunrise|Original|30 min. per ep.|PG-13 - Teens 13 or older|2361|2791|33687|230|977|24492|715|448|7055|1167|2602|5380|5460|2544|1163|497|180|58|41
85|Mobile Suit Zeta Gundam|7.92|Military, Sci-Fi, Space, Drama, Romance, Mecha|TV|50|3/2/1985|2/22/1986|Sotsu, Nagoya Broadcasting Network|Nozomi Entertainment, Bandai Entertainment|Sunrise|Original|24 min. per ep.|PG-13 - Teens 13 or older|655|2159|53822|1721|3912|32798|2628|1049|13435|4021|5901|7986|5578|2118|896|392|152|65|97
86|Mobile Suit Gundam ZZ|6.66|Space, Comedy, Mecha, Military, Drama, Sci-Fi|TV|47|3/1/1986|1/31/1987|Sotsu, Nagoya Broadcasting Network|Nozomi Entertainment|Sunrise|Original|24 min. per ep.|PG-13 - Teens 13 or older|5111|2941|30758|130|1647|18408|1354|917|8432|622|1062|2740|4440|2977|1601|930|372|182|115
87|Mobile Suit Gundam: Char's Counterattack|7.68|Military, Sci-Fi, Space, Drama, Mecha|Movie|1|3/12/1988||Sotsu, Nozomi Entertainment, Atelier Musa|Bandai Entertainment|Sunrise, Studio Hibari|Novel|1 hr. 59 min.|PG-13 - Teens 13 or older|1084|2773|34221|293|437|25957|233|171|7423|2400|3571|5995|4692|1865|824|376|147|69|54
88|Mobile Suit Gundam F91|6.67|Drama, Mecha, Military, Sci-Fi, Space|Movie|1|3/16/1991||Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network|Nozomi Entertainment, Bandai Entertainment|Sunrise||2 hr.|PG-13 - Teens 13 or older|5049|3387|23161|63|357|16731|207|193|5673|530|892|2239|3834|2824|1462|649|221|93|52
89|Mobile Suit Victory Gundam|6.76|Drama, Mecha, Military, Sci-Fi, Space|TV|51|4/2/1993|3/25/1994|TV Asahi, Sotsu, Apollon|Nozomi Entertainment|Sunrise, Studio Deen|Original|24 min. per ep.|PG-13 - Teens 13 or older|4632|3588|20794|95|1225|10068|1094|628|7779|430|735|1589|2272|1406|796|487|240|90|89
90|Mobile Suit Gundam Wing|7.72|Action, Military, Sci-Fi, Space, Drama, Mecha|TV|49|4/7/1995|3/29/1996|TV Asahi|Bandai Entertainment|Sunrise|Original|24 min. per ep.|PG-13 - Teens 13 or older|984|1118|132208|2538|5922|95155|5945|4411|20775|9965|13704|21396|18315|7559|3460|1507|518|210|175
91|Mobile Suit Gundam Wing: Endless Waltz|7.76|Action, Drama, Mecha, Military, Sci-Fi, Space|OVA|3|1/25/1997|7/25/1997|Bandai Visual, Sotsu|Bandai Entertainment|Sunrise|Original|30 min. per ep.|PG-13 - Teens 13 or older|897|2512|41030|221|500|34369|280|250|5631|3190|4480|6953|5766|2210|921|307|127|54|50
92|After War Gundam X|7.32|Sci-Fi, Adventure, Space, Drama, Mecha|TV|39|4/5/1996|12/28/1996|TV Asahi, Sotsu|Nozomi Entertainment|Sunrise|Original|24 min. per ep.|PG-13 - Teens 13 or older|2228|3043|28862|189|1554|15987|1746|983|8592|788|1633|3412|3998|1801|813|304|100|43|39
93|Mobile Suit Gundam SEED|7.79|Action, Drama, Mecha, Military, Romance, Sci-Fi, Space|TV|50|10/5/2002|9/27/2003|Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa|Bandai Entertainment, NYAV Post|Sunrise|Original|24 min. per ep.|R - 17+ (violence & profanity)|850|1057|140346|3584|4898|101920|4589|5021|23918|11353|15863|22505|17695|7560|3710|1701|762|379|404
94|Mobile Suit Gundam SEED Destiny|7.22|Action, Drama, Mecha, Military, Romance, Sci-Fi, Space|TV|50|10/9/2004|10/1/2005|Sotsu, Mainichi Broadcasting System, Sony Music Entertainment|Bandai Entertainment, NYAV Post|Sunrise|Original|24 min. per ep.|R - 17+ (violence & profanity)|2687|1530|90208|1206|2210|70845|2251|2749|12153|5979|8245|12662|12913|6928|3887|2752|1300|865|584
95|Turn A Gundam|7.7|Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha|TV|50|4/9/1999|4/14/2000|Sotsu, Fuji TV|Nozomi Entertainment|Sunrise, Nakamura Production|Original|24 min. per ep.|PG-13 - Teens 13 or older|1018|2714|35670|760|2378|14651|2327|1448|14866|1815|2212|3129|2892|1403|706|299|127|87|66
